,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,All_NBA
77,298.0,51.0,3779.0,57.8,2.778,0.03,0.899,42.9,93.8,68.1,37.699999999999996,6.7,8.600000000000001,51.3,106.60000000000001,2.9000000000000004,5.0,7.699999999999999,0.47000000000000003,-24.0,-4.8999999999999995,-28.9,-1.8,586.0,1266.0,2.5829999999999997,2.0,8.0,2.554037238348565,584.0,1258.0,2.588,2.5869999999999997,169.0,204.0,5.128,225.0,446.0,671.0,165.0,72.0,63.0,141.0,670.0,1343.0,0
78,336.0,271.0,9657.0,91.3,3.362,0.473,2.06,63.199999999999996,116.0,88.89999999999999,105.9,10.9,6.9,112.19999999999999,133.79999999999998,3.8000000000000007,9.999999999999998,13.599999999999998,0.392,-10.2,4.3,-5.699999999999999,5.300000000000001,1470.0,3156.0,3.084,63.0,208.0,1.7,1407.0,2948.0,3.1530000000000005,3.1550000000000002,595.0,949.0,4.409,756.0,1400.0,2156.0,917.0,316.0,136.0,699.0,932.0,3598.0,0
79,482.0,262.0,11781.0,101.8,4.693,1.359,2.194,18.7,74.9,46.7,238.0,16.5,4.0,164.29999999999998,163.2,6.7,7.099999999999999,13.9,0.4049999999999999,-23.1,-15.3,-38.3,-1.3,1420.0,3407.0,4.075,142.0,514.0,2.1460186191742827,1278.0,2893.0,4.3469999999999995,4.236999999999999,656.0,796.0,8.309000000000001,215.0,831.0,1046.0,1897.0,400.0,77.0,721.0,1072.0,3638.0,0
80,447.0,185.0,9557.0,76.30000000000001,3.268,0.003,3.9579999999999997,64.2,147.0,105.0,17.1,3.5999999999999996,34.0,101.5,69.2,6.1,11.9,18.0,0.583,-24.299999999999997,12.0,-12.3,-0.19999999999999998,809.0,1581.0,3.139,0.0,1.0,1.3850930958714136,809.0,1580.0,3.141,3.139,558.0,1009.0,3.266,910.0,2035.0,2945.0,189.0,117.0,667.0,411.0,1031.0,2176.0,0
81,264.0,201.0,7352.0,78.5,2.724,0.013,1.616,49.0,93.7,71.3,48.6,7.7,11.5,85.50000000000001,114.70000000000002,6.7,9.100000000000001,15.8,0.475,-6.9,2.5,-4.3,3.3,1385.0,2633.0,2.557,2.0,10.0,1.0540372383485654,1383.0,2623.0,2.561,2.558,592.0,842.0,3.5140000000000002,576.0,1214.0,1790.0,352.0,216.0,198.0,607.0,889.0,3364.0,0
82,471.0,471.0,16567.0,159.2,3.9250000000000003,0.259,2.9850000000000003,54.3,155.1,105.50000000000001,152.3,9.8,9.000000000000002,79.2,194.50000000000003,42.2,20.4,62.3,1.2559999999999998,19.2,9.4,28.5,25.6,3906.0,7547.0,3.615,80.0,268.0,1.9380000000000002,3826.0,7279.0,3.673,3.655,2225.0,3305.0,4.753,1154.0,3269.0,4423.0,1954.0,455.0,269.0,1159.0,1412.0,10117.0,4
83,279.0,121.0,6970.0,61.3,2.495,0.9720000000000001,1.173,20.3,51.1,35.699999999999996,78.0,11.2,6.1000000000000005,78.2,99.8,0.9000000000000001,3.9999999999999996,4.800000000000001,0.20600000000000002,-7.800000000000001,-2.0,-9.799999999999999,-0.10000000000000003,1024.0,2423.0,2.125,164.0,507.0,1.613,860.0,1916.0,2.257,2.2800000000000002,478.0,593.0,3.9970000000000003,240.0,610.0,850.0,604.0,278.0,108.0,445.0,648.0,2690.0,0
84,867.0,338.0,19709.0,181.1,7.9719999999999995,0.117,6.114999999999998,120.7,200.79999999999998,160.49999999999997,124.50000000000001,26.999999999999996,52.40000000000001,285.6,172.59999999999997,20.0,28.299999999999997,48.30000000000001,1.348,-20.0,42.400000000000006,22.39999999999999,27.5,1894.0,3346.0,7.921999999999998,3.0,36.0,2.358074476697131,1891.0,3310.0,7.983,7.925999999999999,888.0,1716.0,7.088018619174277,1589.0,2607.0,4196.0,1400.0,810.0,1147.0,1014.0,2047.0,4679.0,0
85,604.0,205.0,14890.0,141.4,5.026999999999999,2.639,4.548,44.3,124.2,83.80000000000001,274.70000000000005,21.999999999999996,7.1,188.70000000000002,198.9,11.600000000000001,14.799999999999999,26.200000000000003,0.7839999999999999,0.5000000000000003,-1.0000000000000007,-0.4999999999999991,8.8,1847.0,4455.0,4.062,414.0,1267.0,3.105,1433.0,3188.0,4.397,4.478000000000001,1347.0,1955.0,6.872,556.0,1581.0,2137.0,2385.0,604.0,133.0,1192.0,1391.0,5455.0,0
86,223.0,43.0,3213.0,34.8,1.83,1.088,1.3840000000000001,6.2,26.0,16.1,124.0,6.699999999999999,0.6000000000000001,101.3,64.8,-1.9,1.7000000000000002,-0.19999999999999996,0.005,-16.2,-12.1,-28.4,-4.1,261.0,754.0,1.423,61.0,212.0,1.1429999999999998,200.0,542.0,1.503,1.5799999999999998,193.0,251.0,3.072,42.0,177.0,219.0,668.0,97.0,6.0,293.0,289.0,776.0,0
87,709.0,143.0,15899.0,185.3,6.069999999999999,3.427,2.6460000000000004,51.0,142.1,96.4,240.49999999999997,25.1,3.6,146.89999999999998,270.70000000000005,14.2,15.500000000000004,29.7,1.1300000000000001,9.399999999999999,-11.7,-2.3000000000000003,7.400000000000001,2639.0,6305.0,5.012,636.0,1803.0,4.103,2003.0,4502.0,5.374,5.609999999999999,1105.0,1395.0,9.479,600.0,1637.0,2237.0,1869.0,672.0,65.0,983.0,1313.0,7019.0,0
88,354.0,326.0,11691.0,84.39999999999999,3.139,1.429,1.592,20.3,56.7,38.4,101.10000000000001,14.6,5.000000000000001,77.2,121.6,10.0,13.9,23.8,0.5720000000000001,2.4,1.9,4.2,8.3,1665.0,3792.0,2.642,339.0,859.0,2.2910000000000004,1326.0,2933.0,2.75,2.92,762.0,1022.0,4.437,330.0,902.0,1232.0,1099.0,512.0,124.0,622.0,949.0,4431.0,0
89,466.0,228.0,11513.0,99.5,4.590999999999999,3.79,2.1199999999999997,55.800000000000004,114.00000000000001,84.2,95.39999999999999,16.4,5.699999999999999,101.5,158.39999999999998,12.500000000000002,7.6,20.2,0.513,-12.999999999999998,-12.2,-25.1,5.3999999999999995,1551.0,3552.0,3.699,378.0,955.0,2.7560000000000002,1173.0,2597.0,4.094018619174277,4.202999999999999,709.0,862.0,7.398018619174277,559.0,1232.0,1791.0,710.0,396.0,83.0,522.0,1153.0,4189.0,0
90,527.0,258.0,13605.0,166.50000000000003,5.201,1.068,3.675,69.19999999999999,146.7,108.00000000000001,141.5,26.2,11.399999999999999,153.5,265.1,8.299999999999997,19.2,27.3,0.8919999999999999,-4.4,6.3,1.7999999999999992,9.0,2571.0,5524.0,4.727,214.0,637.0,3.1140000000000008,2357.0,4887.0,4.902,4.904,1164.0,1659.0,6.652000000000001,716.0,1700.0,2416.0,1134.0,698.0,165.0,1107.0,1375.0,6520.0,0
