,MP,G,PTS,AST,TwoPA,FGA,WS,All_NBA
867,10021.0,565.0,2958.0,659.0,1448.0,2701.0,13.5,0
868,9706.0,475.0,3651.0,518.0,1838.0,3336.0,9.399999999999999,0
869,11452.0,497.0,3704.0,561.0,1962.0,3532.0,9.0,0
870,19357.0,592.0,8257.0,1272.0,3312.0,6577.0,42.50000000000001,0
871,20105.0,692.0,8007.0,1195.0,3969.0,6640.0,43.9,0
872,6022.0,284.0,2766.0,554.0,1642.0,2367.0,9.0,0
873,6611.0,360.0,2921.0,1185.0,2220.0,2529.0,6.8999999999999995,0
874,7912.0,419.0,2265.0,303.0,1729.0,1732.0,18.5,0
875,14783.0,731.0,6059.0,1018.0,4188.0,5682.0,13.0,0
876,15388.0,495.0,6953.0,891.0,4094.0,6054.0,23.000000000000004,0
877,15818.0,486.0,9247.0,769.0,6435.0,6445.0,65.99999999999999,5
878,6038.0,272.0,2148.0,192.0,1787.0,2012.0,3.1,0
879,5945.0,206.0,2817.0,666.0,1553.0,2346.0,4.9,0
880,31739.0,1018.0,16906.0,1834.0,13818.0,14327.0,77.69999999999999,1
881,3375.0,229.0,1174.0,153.0,1004.0,1007.0,2.2,0
882,20390.0,961.0,6774.0,1233.0,5076.0,5102.0,47.00000000000001,0
883,22965.0,843.0,10976.0,955.0,8742.0,8842.0,66.4,0
